category,product_tier,price_band,customer_tier,market_region,optional_services,quantity,price,order_value,selected_products_count,delivery_lead_time_days,is_expedited_delivery,optional_services_count,optional_services_fee,requested_discount_percent,customer_avg_previous_discount,product_avg_previous_discount,customer_previous_transactions,tier_discount,tier_max_discount,recommended_discount_percent
INDUSTRIAL,ECONOMY,PREMIUM,SILVER,DOMESTIC,EXTENDED_WARRANTY,20,180.66,3613.2,3,28,0,1,77.03,7.39,6.53,7.18,11,8.0,18.0,9.99
FURNITURE,PREMIUM,PREMIUM,STANDARD,DOMESTIC,NONE,20,271.59,5431.8,2,15,0,0,0.0,9.5,3.68,6.02,11,5.0,12.0,9.21
OFFICE_SUPPLIES,STANDARD,PREMIUM,PLATINUM,EUROPE,NONE,20,430.04,8600.8,4,20,0,0,0.0,13.91,13.03,8.73,8,16.0,30.0,13.79
INDUSTRIAL,ENTERPRISE,HIGH,SILVER,DOMESTIC,NONE,20,113.16,2263.2,4,16,0,0,0.0,7.22,8.67,6.03,4,8.0,18.0,10.71
HARDWARE,PREMIUM,PREMIUM,PLATINUM,DOMESTIC,PREMIUM_SLA,250,272.34,68085.0,3,11,0,2,283.3,17.9,18.19,9.52,11,16.0,30.0,18.58
OFFICE_SUPPLIES,ECONOMY,MEDIUM,STANDARD,DOMESTIC,NONE,500,41.75,20875.0,2,22,0,0,0.0,5.93,6.41,6.53,14,5.0,12.0,10.11
OFFICE_SUPPLIES,STANDARD,PREMIUM,STANDARD,DOMESTIC,TRAINING_AND_SUPPORT,20,394.28,7885.6,4,17,0,1,134.29,3.64,4.44,3.94,9,5.0,12.0,6.62
INDUSTRIAL,PREMIUM,PREMIUM,GOLD,INTERNATIONAL,WHITE_GLOVE,2,353.97,707.94,1,21,0,2,417.62,9.21,14.08,9.28,8,12.0,24.0,13.42
SOFTWARE,PREMIUM,PREMIUM,SILVER,EUROPE,NONE,5,212.56,1062.8,4,11,0,0,0.0,3.24,6.92,8.69,4,8.0,18.0,8.43
HARDWARE,ENTERPRISE,PREMIUM,GOLD,INTERNATIONAL,EXTENDED_WARRANTY,2,216.04,432.08,3,30,0,1,114.31,7.76,11.35,9.46,7,12.0,24.0,9.86
INDUSTRIAL,PREMIUM,PREMIUM,SILVER,DOMESTIC,INSTALLATION,10,496.35,4963.5,2,26,0,1,74.52,6.55,8.79,7.79,9,8.0,18.0,8.89
HARDWARE,STANDARD,PREMIUM,STANDARD,DOMESTIC,NONE,20,220.13,4402.6,1,7,0,0,0.0,4.16,3.85,9.47,6,5.0,12.0,1.0
HARDWARE,STANDARD,PREMIUM,PLATINUM,INTERNATIONAL,EXTENDED_WARRANTY,5,214.37,1071.85,2,24,0,1,243.31,15.64,18.52,4.76,8,16.0,30.0,10.38
OFFICE_SUPPLIES,PREMIUM,PREMIUM,GOLD,DOMESTIC,INSTALLATION,2,179.9,359.8,2,5,0,1,86.32,13.03,12.41,6.4,1,12.0,24.0,11.63
FURNITURE,ENTERPRISE,PREMIUM,STANDARD,DOMESTIC,NONE,5,243.66,1218.3,4,11,0,0,0.0,7.19,7.87,10.63,10,5.0,12.0,3.79
HARDWARE,ENTERPRISE,PREMIUM,SILVER,DOMESTIC,NONE,10,311.73,3117.3,2,13,0,0,0.0,5.64,8.27,13.23,14,8.0,18.0,6.29
SERVICES,ENTERPRISE,PREMIUM,STANDARD,DOMESTIC,NONE,20,314.02,6280.4,1,20,0,0,0.0,5.13,6.85,8.11,5,5.0,12.0,12.0
OFFICE_SUPPLIES,PREMIUM,MEDIUM,STANDARD,EUROPE,NONE,5,36.74,183.7,2,18,0,0,0.0,1.49,5.8,8.07,9,5.0,12.0,5.95
SOFTWARE,PREMIUM,PREMIUM,GOLD,DOMESTIC,NONE,1,438.49,438.49,4,26,0,0,0.0,8.75,16.0,8.22,12,12.0,24.0,10.68
FURNITURE,STANDARD,PREMIUM,PLATINUM,DOMESTIC,EXTENDED_WARRANTY,5,213.55,1067.75,1,4,0,1,55.41,15.56,15.72,11.43,7,16.0,30.0,12.26
SERVICES,ENTERPRISE,PREMIUM,GOLD,DOMESTIC,NONE,1,368.0,368.0,1,6,0,0,0.0,9.45,11.53,10.53,7,12.0,24.0,8.72
SERVICES,ENTERPRISE,LOW,PLATINUM,EUROPE,WHITE_GLOVE,2,13.16,26.32,4,26,0,2,210.01,12.63,16.95,11.67,6,16.0,30.0,16.47
SOFTWARE,PREMIUM,HIGH,STANDARD,DOMESTIC,NONE,1,80.88,80.88,4,7,0,0,0.0,4.35,8.13,5.95,13,5.0,12.0,6.11
FURNITURE,ECONOMY,PREMIUM,STANDARD,INTERNATIONAL,NONE,100,161.66,16166.0,1,18,0,0,0.0,0.75,7.12,5.27,6,5.0,12.0,10.22
OFFICE_SUPPLIES,ENTERPRISE,PREMIUM,STANDARD,EUROPE,EXTENDED_WARRANTY,50,179.57,8978.5,4,21,0,1,74.49,11.74,5.0,6.73,6,5.0,12.0,5.57
ELECTRONICS,PREMIUM,HIGH,GOLD,INTERNATIONAL,NONE,100,96.51,9651.0,5,10,0,0,0.0,13.9,12.6,5.92,5,12.0,24.0,8.67
FURNITURE,STANDARD,PREMIUM,GOLD,DOMESTIC,INSTALLATION,250,390.67,97667.5,3,10,0,1,126.17,13.85,13.14,6.35,9,12.0,24.0,14.67
SOFTWARE,PREMIUM,PREMIUM,SILVER,DOMESTIC,PREMIUM_SLA,10,223.94,2239.4,4,3,1,2,110.03,11.77,8.39,8.16,8,8.0,18.0,7.83
SERVICES,STANDARD,PREMIUM,GOLD,DOMESTIC,WHITE_GLOVE,1,313.17,313.17,5,29,0,2,439.38,13.58,10.32,4.1,10,12.0,24.0,15.59
OFFICE_SUPPLIES,ENTERPRISE,PREMIUM,GOLD,DOMESTIC,TRAINING_AND_SUPPORT,1,236.22,236.22,1,12,0,1,212.64,13.5,13.44,8.49,6,12.0,24.0,12.54
FURNITURE,ENTERPRISE,PREMIUM,STANDARD,DOMESTIC,NONE,1,184.08,184.08,1,10,0,0,0.0,10.43,2.62,10.8,4,5.0,12.0,1.0
ELECTRONICS,STANDARD,PREMIUM,STANDARD,EUROPE,INSTALLATION,20,256.1,5122.0,5,19,0,1,190.76,3.54,8.15,7.59,7,5.0,12.0,9.87
ELECTRONICS,PREMIUM,PREMIUM,STANDARD,DOMESTIC,EXTENDED_WARRANTY,1,426.47,426.47,1,11,0,1,74.21,9.13,6.42,6.22,10,5.0,12.0,4.31
HARDWARE,PREMIUM,HIGH,SILVER,EUROPE,NONE,10,64.45,644.5,2,28,0,0,0.0,1.79,10.56,10.97,11,8.0,18.0,4.17
HARDWARE,STANDARD,PREMIUM,STANDARD,INTERNATIONAL,NONE,100,326.45,32645.0,2,25,0,0,0.0,4.53,5.78,10.51,11,5.0,12.0,4.01
INDUSTRIAL,STANDARD,MEDIUM,SILVER,DOMESTIC,TRAINING_AND_SUPPORT,1,46.81,46.81,4,11,0,1,117.47,8.35,9.61,7.57,7,8.0,18.0,7.46
SOFTWARE,PREMIUM,PREMIUM,GOLD,EUROPE,NONE,1,338.57,338.57,1,17,0,0,0.0,6.59,13.07,12.29,9,12.0,24.0,15.53
FURNITURE,STANDARD,PREMIUM,SILVER,EUROPE,EXTENDED_WARRANTY,20,310.56,6211.2,4,23,0,1,69.51,9.31,8.07,5.06,5,8.0,18.0,10.5
FURNITURE,PREMIUM,PREMIUM,PLATINUM,EUROPE,NONE,5,168.6,843.0,1,30,0,0,0.0,17.64,13.06,7.42,4,16.0,30.0,9.55
INDUSTRIAL,STANDARD,HIGH,SILVER,EUROPE,NONE,1000,111.23,111230.0,2,24,0,0,0.0,7.6,8.18,9.71,5,8.0,18.0,9.08
SERVICES,PREMIUM,PREMIUM,STANDARD,EUROPE,NONE,250,219.62,54905.0,1,15,0,0,0.0,3.21,3.42,8.69,11,5.0,12.0,8.81
SERVICES,ECONOMY,HIGH,SILVER,DOMESTIC,EXTENDED_WARRANTY,1,85.53,85.53,3,29,0,1,84.43,11.12,7.66,5.77,7,8.0,18.0,9.77
INDUSTRIAL,ENTERPRISE,PREMIUM,STANDARD,DOMESTIC,NONE,100,287.4,28740.0,1,2,1,0,0.0,3.29,8.97,5.95,8,5.0,12.0,3.48
SERVICES,PREMIUM,PREMIUM,STANDARD,INTERNATIONAL,NONE,10,403.96,4039.6,2,11,0,0,0.0,5.38,7.87,9.09,6,5.0,12.0,8.05
HARDWARE,ENTERPRISE,PREMIUM,STANDARD,DOMESTIC,NONE,2,442.81,885.62,3,10,0,0,0.0,5.9,4.42,11.11,6,5.0,12.0,1.0
FURNITURE,PREMIUM,PREMIUM,GOLD,DOMESTIC,NONE,50,473.86,23693.0,2,20,0,0,0.0,10.48,9.97,6.76,9,12.0,24.0,10.62
INDUSTRIAL,ECONOMY,PREMIUM,PLATINUM,DOMESTIC,NONE,20,471.11,9422.2,3,17,0,0,0.0,10.1,17.52,4.64,5,16.0,30.0,14.49
FURNITURE,STANDARD,HIGH,SILVER,INTERNATIONAL,EXTENDED_WARRANTY,2,56.36,112.72,1,23,0,1,113.33,12.32,7.99,7.54,8,8.0,18.0,5.37
ELECTRONICS,STANDARD,PREMIUM,STANDARD,INTERNATIONAL,NONE,2,465.2,930.4,1,14,0,0,0.0,6.06,2.71,6.57,2,5.0,12.0,1.0
HARDWARE,STANDARD,PREMIUM,GOLD,INTERNATIONAL,TRAINING_AND_SUPPORT,10,164.25,1642.5,1,26,0,1,176.23,8.52,12.23,7.66,7,12.0,24.0,7.21
OFFICE_SUPPLIES,STANDARD,PREMIUM,GOLD,INTERNATIONAL,EXTENDED_WARRANTY,10,336.23,3362.3,1,23,0,1,95.85,8.74,14.58,8.68,9,12.0,24.0,14.94
HARDWARE,STANDARD,PREMIUM,STANDARD,INTERNATIONAL,EXTENDED_WARRANTY,1,217.4,217.4,1,22,0,1,174.68,5.36,2.45,11.27,5,5.0,12.0,3.34
INDUSTRIAL,PREMIUM,PREMIUM,STANDARD,DOMESTIC,TRAINING_AND_SUPPORT,10,276.55,2765.5,2,27,0,1,239.75,4.9,3.57,4.06,7,5.0,12.0,12.0
OFFICE_SUPPLIES,PREMIUM,PREMIUM,STANDARD,DOMESTIC,EXTENDED_WARRANTY,10,462.57,4625.7,4,15,0,1,206.39,2.57,4.39,7.41,14,5.0,12.0,8.2
ELECTRONICS,ECONOMY,PREMIUM,PLATINUM,EUROPE,NONE,20,189.21,3784.2,4,25,0,0,0.0,12.65,17.53,2.0,8,16.0,30.0,11.13
INDUSTRIAL,STANDARD,HIGH,SILVER,EUROPE,EXTENDED_WARRANTY,2,117.37,234.74,2,23,0,1,180.51,3.19,9.02,8.28,3,8.0,18.0,13.58
SOFTWARE,ENTERPRISE,PREMIUM,SILVER,EUROPE,PREMIUM_SLA,20,241.35,4827.0,2,19,0,2,294.69,2.64,7.77,9.52,12,8.0,18.0,13.63
FURNITURE,STANDARD,PREMIUM,STANDARD,EUROPE,NONE,50,451.08,22554.0,3,11,0,0,0.0,4.17,8.77,7.8,9,5.0,12.0,4.42
ELECTRONICS,ECONOMY,MEDIUM,STANDARD,EUROPE,INSTALLATION,2,33.21,66.42,2,14,0,1,92.08,0.04,5.11,6.26,10,5.0,12.0,1.0
FURNITURE,ECONOMY,PREMIUM,STANDARD,DOMESTIC,NONE,20,483.74,9674.8,4,15,0,0,0.0,6.31,7.04,10.54,8,5.0,12.0,8.91
SERVICES,ENTERPRISE,PREMIUM,STANDARD,DOMESTIC,WHITE_GLOVE,10,288.54,2885.4,4,17,0,2,231.93,6.43,4.52,7.92,11,5.0,12.0,11.3
SOFTWARE,ECONOMY,PREMIUM,STANDARD,DOMESTIC,INSTALLATION,20,222.58,4451.6,5,22,0,1,114.85,5.04,5.94,7.88,8,5.0,12.0,11.23
SOFTWARE,ECONOMY,PREMIUM,SILVER,INTERNATIONAL,NONE,5,248.09,1240.45,1,10,0,0,0.0,11.93,9.44,9.47,7,8.0,18.0,14.63
ELECTRONICS,STANDARD,PREMIUM,SILVER,EUROPE,NONE,5,168.42,842.1,4,22,0,0,0.0,10.16,10.9,9.19,8,8.0,18.0,6.58
SOFTWARE,STANDARD,PREMIUM,STANDARD,INTERNATIONAL,NONE,20,328.81,6576.2,3,1,1,0,0.0,3.11,4.34,4.84,5,5.0,12.0,6.1
OFFICE_SUPPLIES,STANDARD,PREMIUM,SILVER,DOMESTIC,WHITE_GLOVE,2,188.5,377.0,4,6,0,2,488.53,4.43,5.09,9.32,9,8.0,18.0,3.54
SOFTWARE,STANDARD,PREMIUM,GOLD,DOMESTIC,TRAINING_AND_SUPPORT,5,331.45,1657.25,2,28,0,1,163.89,16.85,11.49,8.64,10,12.0,24.0,12.57
FURNITURE,STANDARD,PREMIUM,STANDARD,EUROPE,NONE,1,377.41,377.41,1,19,0,0,0.0,0.41,5.4,5.44,15,5.0,12.0,4.3
FURNITURE,ENTERPRISE,PREMIUM,STANDARD,EUROPE,PREMIUM_SLA,50,469.27,23463.5,1,12,0,2,106.11,8.26,7.75,9.1,6,5.0,12.0,8.31
INDUSTRIAL,ENTERPRISE,HIGH,STANDARD,DOMESTIC,NONE,1000,132.73,132730.0,3,17,0,0,0.0,3.39,2.0,10.5,7,5.0,12.0,10.82
FURNITURE,ENTERPRISE,HIGH,PLATINUM,DOMESTIC,EXTENDED_WARRANTY,2,141.99,283.98,1,23,0,1,66.2,10.44,16.4,7.82,9,16.0,30.0,11.52
INDUSTRIAL,ENTERPRISE,HIGH,STANDARD,DOMESTIC,EXTENDED_WARRANTY,5,149.04,745.2,4,24,0,1,197.94,1.39,2.0,8.35,4,5.0,12.0,9.62
FURNITURE,ECONOMY,HIGH,STANDARD,EUROPE,INSTALLATION,2,69.23,138.46,1,4,0,1,208.3,6.37,2.0,9.77,6,5.0,12.0,1.0
OFFICE_SUPPLIES,PREMIUM,MEDIUM,STANDARD,DOMESTIC,NONE,5,22.24,111.2,5,13,0,0,0.0,9.68,5.61,9.24,7,5.0,12.0,7.1
INDUSTRIAL,ENTERPRISE,PREMIUM,STANDARD,DOMESTIC,EXTENDED_WARRANTY,1000,304.46,304460.0,4,2,1,1,189.86,1.45,4.85,9.58,5,5.0,12.0,8.16
HARDWARE,ECONOMY,PREMIUM,SILVER,DOMESTIC,NONE,2,498.89,997.78,1,25,0,0,0.0,7.4,5.57,5.56,8,8.0,18.0,3.24
SERVICES,STANDARD,HIGH,PLATINUM,DOMESTIC,NONE,1,133.35,133.35,1,26,0,0,0.0,17.57,17.11,8.29,11,16.0,30.0,18.21
ELECTRONICS,PREMIUM,HIGH,GOLD,DOMESTIC,PREMIUM_SLA,5,52.55,262.75,1,22,0,2,147.74,19.22,13.42,6.61,10,12.0,24.0,9.5
FURNITURE,STANDARD,PREMIUM,STANDARD,EUROPE,NONE,5,228.23,1141.15,2,17,0,0,0.0,2.98,5.06,9.03,10,5.0,12.0,4.92
SOFTWARE,STANDARD,PREMIUM,SILVER,EUROPE,NONE,50,284.25,14212.5,2,14,0,0,0.0,10.46,6.93,5.74,4,8.0,18.0,12.92
FURNITURE,STANDARD,PREMIUM,SILVER,EUROPE,INSTALLATION,2,438.79,877.58,2,12,0,1,83.46,3.66,6.84,8.97,6,8.0,18.0,6.19
SOFTWARE,ENTERPRISE,MEDIUM,STANDARD,DOMESTIC,WHITE_GLOVE,1,26.93,26.93,2,11,0,2,161.18,4.44,5.92,8.47,9,5.0,12.0,12.0
SERVICES,STANDARD,PREMIUM,SILVER,DOMESTIC,INSTALLATION,1,336.03,336.03,5,7,0,1,128.41,5.78,8.08,7.05,7,8.0,18.0,5.2
SERVICES,STANDARD,PREMIUM,STANDARD,DOMESTIC,NONE,50,402.14,20107.0,1,26,0,0,0.0,7.24,3.57,10.74,8,5.0,12.0,6.25
SERVICES,ECONOMY,PREMIUM,STANDARD,INTERNATIONAL,EXTENDED_WARRANTY,20,385.15,7703.0,1,16,0,1,130.72,5.02,6.35,9.27,6,5.0,12.0,7.8
SOFTWARE,PREMIUM,PREMIUM,STANDARD,DOMESTIC,NONE,1,427.73,427.73,2,25,0,0,0.0,3.6,6.84,11.74,11,5.0,12.0,11.3
FURNITURE,STANDARD,PREMIUM,STANDARD,DOMESTIC,NONE,10,271.64,2716.4,3,27,0,0,0.0,8.91,3.57,7.02,9,5.0,12.0,3.43
SERVICES,STANDARD,PREMIUM,GOLD,DOMESTIC,NONE,20,305.42,6108.4,2,27,0,0,0.0,7.86,11.36,6.7,9,12.0,24.0,12.69
OFFICE_SUPPLIES,STANDARD,PREMIUM,STANDARD,EUROPE,EXTENDED_WARRANTY,500,193.8,96900.0,2,5,0,1,228.2,8.89,6.08,7.26,6,5.0,12.0,10.83
INDUSTRIAL,ENTERPRISE,PREMIUM,SILVER,DOMESTIC,TRAINING_AND_SUPPORT,1,451.94,451.94,1,21,0,1,106.91,5.47,5.93,9.88,11,8.0,18.0,12.85
SOFTWARE,STANDARD,PREMIUM,STANDARD,EUROPE,NONE,20,183.55,3671.0,1,15,0,0,0.0,7.37,4.7,6.79,7,5.0,12.0,11.29
SOFTWARE,ENTERPRISE,HIGH,STANDARD,INTERNATIONAL,INSTALLATION,2,140.56,281.12,1,1,1,1,218.91,3.52,3.3,9.89,9,5.0,12.0,4.85
