session_id,user_id,step_index,action
sess_00001,user_002,0,open_quotations
sess_00001,user_002,1,create_quotation
sess_00001,user_002,2,add_product
sess_00001,user_002,3,set_discount
sess_00001,user_002,4,save_quotation
sess_00001,user_002,5,send_quotation
sess_00002,user_003,0,create_quotation
sess_00002,user_003,1,add_product
sess_00002,user_003,2,set_discount
sess_00002,user_003,3,save_quotation
sess_00002,user_003,4,send_quotation
sess_00002,user_003,5,create_order
sess_00003,user_004,0,view_laptop
sess_00003,user_004,1,purchase_laptop
sess_00003,user_004,2,purchase_headphones
sess_00003,user_004,3,open_purchases
sess_00004,user_005,0,open_products
sess_00004,user_005,1,search_monitor
sess_00004,user_005,2,view_monitor
sess_00004,user_005,3,purchase_monitor
sess_00004,user_005,4,purchase_keyboard
sess_00005,user_006,0,open_quotations
sess_00005,user_006,1,create_quotation
sess_00005,user_006,2,add_product
sess_00005,user_006,3,save_quotation
sess_00005,user_006,4,send_quotation
sess_00005,user_006,5,create_order
sess_00006,user_007,0,view_laptop
sess_00006,user_007,1,purchase_laptop
sess_00006,user_007,2,purchase_headphones
sess_00006,user_007,3,open_purchases
sess_00007,user_008,0,view_customer
sess_00007,user_008,1,view_customer_orders
sess_00008,user_009,0,create_quotation
sess_00008,user_009,1,add_product
sess_00008,user_009,2,save_quotation
sess_00008,user_009,3,send_quotation
sess_00008,user_009,4,create_order
sess_00009,user_010,0,view_customer
sess_00009,user_010,1,view_customer_orders
sess_00010,user_011,0,view_monitor
sess_00010,user_011,1,purchase_monitor
sess_00010,user_011,2,purchase_keyboard
sess_00011,user_012,0,open_products
sess_00011,user_012,1,search_laptop
sess_00011,user_012,2,view_laptop
sess_00011,user_012,3,purchase_laptop
sess_00011,user_012,4,purchase_headphones
sess_00011,user_012,5,open_purchases
sess_00012,user_013,0,open_products
sess_00012,user_013,1,search_laptop
sess_00012,user_013,2,view_laptop
sess_00012,user_013,3,purchase_laptop
sess_00012,user_013,4,purchase_headphones
sess_00012,user_013,5,open_purchases
sess_00013,user_014,0,open_products
sess_00013,user_014,1,search_phone
sess_00013,user_014,2,view_phone
sess_00013,user_014,3,purchase_phone
sess_00013,user_014,4,purchase_phone_case
sess_00014,user_015,0,create_quotation
sess_00014,user_015,1,add_product
sess_00014,user_015,2,set_discount
sess_00014,user_015,3,save_quotation
sess_00014,user_015,4,send_quotation
sess_00014,user_015,5,create_order
sess_00015,user_016,0,view_phone
sess_00015,user_016,1,purchase_phone
sess_00015,user_016,2,purchase_phone_case
sess_00015,user_016,3,open_purchases
sess_00016,user_017,0,view_customer
sess_00016,user_017,1,view_customer_quotations
sess_00016,user_017,2,create_quotation
sess_00017,user_018,0,open_products
sess_00017,user_018,1,search_phone
sess_00017,user_018,2,view_phone
sess_00017,user_018,3,purchase_phone
sess_00017,user_018,4,purchase_phone_case
sess_00018,user_019,0,open_customers
sess_00018,user_019,1,view_customer
sess_00018,user_019,2,view_customer_quotations
sess_00018,user_019,3,create_quotation
sess_00019,user_020,0,open_customers
sess_00019,user_020,1,view_customer
sess_00019,user_020,2,view_customer_quotations
sess_00019,user_020,3,create_quotation
sess_00020,user_021,0,open_products
sess_00020,user_021,1,search_monitor
sess_00020,user_021,2,view_monitor
sess_00020,user_021,3,purchase_monitor
sess_00020,user_021,4,purchase_keyboard
sess_00021,user_022,0,open_customers
sess_00021,user_022,1,view_customer
sess_00021,user_022,2,view_customer_quotations
sess_00022,user_023,0,open_products
sess_00022,user_023,1,search_monitor
sess_00022,user_023,2,view_monitor
sess_00022,user_023,3,purchase_monitor
sess_00022,user_023,4,purchase_keyboard
sess_00023,user_024,0,view_laptop
sess_00023,user_024,1,purchase_laptop
sess_00023,user_024,2,purchase_headphones
sess_00023,user_024,3,open_purchases
sess_00024,user_025,0,view_phone
sess_00024,user_025,1,purchase_phone
sess_00024,user_025,2,purchase_warranty
sess_00025,user_026,0,view_laptop
sess_00025,user_026,1,purchase_laptop
sess_00025,user_026,2,purchase_headphones
sess_00025,user_026,3,open_purchases
sess_00026,user_027,0,open_quotations
sess_00026,user_027,1,create_quotation
sess_00026,user_027,2,add_product
sess_00026,user_027,3,set_discount
sess_00026,user_027,4,save_quotation
sess_00026,user_027,5,send_quotation
sess_00027,user_028,0,open_customers
sess_00027,user_028,1,view_customer
sess_00027,user_028,2,view_customer_quotations
sess_00027,user_028,3,create_quotation
sess_00028,user_029,0,view_customer
sess_00028,user_029,1,view_customer_quotations
sess_00028,user_029,2,create_quotation
sess_00029,user_030,0,open_products
sess_00029,user_030,1,search_monitor
sess_00029,user_030,2,view_monitor
sess_00029,user_030,3,purchase_monitor
sess_00029,user_030,4,purchase_mouse
sess_00030,user_031,0,view_monitor
sess_00030,user_031,1,purchase_monitor
sess_00030,user_031,2,purchase_keyboard
sess_00031,user_032,0,open_products
sess_00031,user_032,1,search_laptop
sess_00031,user_032,2,view_laptop
sess_00031,user_032,3,purchase_laptop
sess_00031,user_032,4,purchase_headphones
sess_00032,user_033,0,view_customer
sess_00032,user_033,1,view_customer_quotations
sess_00032,user_033,2,create_quotation
sess_00033,user_034,0,view_customer
sess_00033,user_034,1,view_customer_quotations
sess_00033,user_034,2,create_quotation
sess_00034,user_035,0,view_laptop
sess_00034,user_035,1,purchase_laptop
sess_00034,user_035,2,purchase_headphones
sess_00034,user_035,3,open_purchases
sess_00035,user_036,0,open_products
sess_00035,user_036,1,search_monitor
sess_00035,user_036,2,view_monitor
sess_00035,user_036,3,purchase_monitor
sess_00035,user_036,4,purchase_headphones
sess_00036,user_037,0,open_products
sess_00036,user_037,1,search_phone
sess_00036,user_037,2,view_phone
sess_00036,user_037,3,purchase_phone
sess_00036,user_037,4,purchase_phone_case
sess_00037,user_038,0,open_products
sess_00037,user_038,1,search_laptop
sess_00037,user_038,2,view_laptop
sess_00037,user_038,3,purchase_laptop
sess_00037,user_038,4,purchase_warranty
sess_00037,user_038,5,open_purchases
sess_00038,user_039,0,view_phone
sess_00038,user_039,1,purchase_phone
sess_00038,user_039,2,purchase_phone_case
sess_00038,user_039,3,open_purchases
sess_00039,user_040,0,open_products
sess_00039,user_040,1,search_monitor
sess_00039,user_040,2,view_monitor
sess_00039,user_040,3,purchase_monitor
sess_00039,user_040,4,purchase_keyboard
sess_00040,user_041,0,view_laptop
sess_00040,user_041,1,purchase_laptop
sess_00040,user_041,2,purchase_laptop_bag
sess_00041,user_042,0,open_products
sess_00041,user_042,1,search_laptop
sess_00041,user_042,2,view_laptop
sess_00041,user_042,3,purchase_laptop
sess_00041,user_042,4,purchase_mouse
sess_00041,user_042,5,open_purchases
sess_00042,user_043,0,view_laptop
sess_00042,user_043,1,purchase_laptop
sess_00042,user_043,2,purchase_headphones
sess_00043,user_044,0,open_quotations
sess_00043,user_044,1,create_quotation
sess_00043,user_044,2,add_product
sess_00043,user_044,3,set_discount
sess_00043,user_044,4,save_quotation
sess_00043,user_044,5,send_quotation
sess_00043,user_044,6,create_order
sess_00044,user_045,0,view_phone
sess_00044,user_045,1,purchase_phone
sess_00044,user_045,2,purchase_warranty
sess_00044,user_045,3,open_purchases
sess_00045,user_046,0,open_products
sess_00045,user_046,1,search_phone
sess_00045,user_046,2,view_phone
sess_00045,user_046,3,purchase_phone
sess_00045,user_046,4,purchase_headphones
sess_00045,user_046,5,open_purchases
sess_00046,user_047,0,open_products
sess_00046,user_047,1,search_laptop
sess_00046,user_047,2,view_laptop
sess_00046,user_047,3,purchase_laptop
sess_00046,user_047,4,purchase_headphones
sess_00046,user_047,5,open_purchases
sess_00047,user_048,0,view_laptop
sess_00047,user_048,1,purchase_laptop
sess_00047,user_048,2,purchase_laptop_bag
sess_00047,user_048,3,open_purchases
sess_00048,user_049,0,login
sess_00048,user_049,1,open_products
sess_00048,user_049,2,search_laptop
sess_00048,user_049,3,view_laptop
sess_00048,user_049,4,purchase_laptop
sess_00048,user_049,5,purchase_warranty
sess_00049,user_050,0,open_customers
sess_00049,user_050,1,view_customer
sess_00049,user_050,2,view_customer_quotations
sess_00049,user_050,3,create_quotation
sess_00050,user_051,0,open_products
sess_00050,user_051,1,search_phone
sess_00050,user_051,2,view_phone
sess_00050,user_051,3,purchase_phone
sess_00050,user_051,4,purchase_phone_case
sess_00051,user_052,0,view_laptop
sess_00051,user_052,1,purchase_laptop
sess_00051,user_052,2,purchase_headphones
sess_00052,user_053,0,create_order
sess_00052,user_053,1,generate_invoice
sess_00052,user_053,2,confirm_payment
sess_00053,user_054,0,view_phone
sess_00053,user_054,1,purchase_phone
sess_00053,user_054,2,purchase_phone_case
sess_00054,user_055,0,view_laptop
sess_00054,user_055,1,purchase_laptop
sess_00054,user_055,2,purchase_laptop_bag
sess_00054,user_055,3,open_purchases
sess_00055,user_056,0,open_orders
sess_00055,user_056,1,create_order
sess_00055,user_056,2,generate_invoice
sess_00055,user_056,3,confirm_payment
sess_00056,user_057,0,open_quotations
sess_00056,user_057,1,create_quotation
sess_00056,user_057,2,add_product
sess_00056,user_057,3,set_discount
sess_00056,user_057,4,save_quotation
sess_00056,user_057,5,open_quotations
sess_00057,user_058,0,view_laptop
sess_00057,user_058,1,purchase_laptop
sess_00057,user_058,2,purchase_headphones
sess_00057,user_058,3,open_purchases
sess_00058,user_059,0,view_monitor
sess_00058,user_059,1,purchase_monitor
sess_00058,user_059,2,purchase_keyboard
sess_00059,user_060,0,open_quotations
sess_00059,user_060,1,create_quotation
sess_00059,user_060,2,add_product
sess_00059,user_060,3,set_discount
sess_00059,user_060,4,save_quotation
sess_00059,user_060,5,send_quotation
sess_00059,user_060,6,create_order
sess_00060,user_061,0,view_phone
sess_00060,user_061,1,purchase_phone
sess_00060,user_061,2,purchase_phone_case
sess_00061,user_062,0,open_orders
sess_00061,user_062,1,create_order
sess_00061,user_062,2,generate_invoice
sess_00061,user_062,3,confirm_payment
sess_00062,user_063,0,create_order
sess_00062,user_063,1,assign_delivery
sess_00063,user_064,0,open_products
sess_00063,user_064,1,search_phone
sess_00063,user_064,2,view_phone
sess_00063,user_064,3,purchase_phone
sess_00063,user_064,4,purchase_headphones
sess_00064,user_065,0,view_monitor
sess_00064,user_065,1,purchase_monitor
sess_00064,user_065,2,purchase_mouse
sess_00065,user_066,0,view_laptop
sess_00065,user_066,1,purchase_laptop
sess_00065,user_066,2,purchase_mouse
